"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"87","Korea, Democratic People'S Republic Of",76.4285714285714,284,16.1480014891529,6,2.13089802130898,1,NA,439,0,1
"88","Korea, Republic Of",89.7341036986733,375,65.1876671066436,387,75.6879298884458,405,65.3371263623089,424,79.1222932197373,397
"89","Korea, Republic Of",90.1005401046254,380,76.7917780710958,408,75.6879298884458,405,65.3371263623089,424,79.1222932197373,397
"90","Korea, Republic Of",90.1005401046254,380,65.1876671066436,387,75.6879298884458,405,65.3371263623089,424,79.1222932197373,397
"91","Korea, Republic Of",89.7341036986733,375,76.7917780710958,408,75.6879298884458,405,65.3371263623089,424,79.1222932197373,397
"92","Kosovo",71.0714285714286,175,33.2664906758723,284,48.3535427349369,346,49.9426108493518,357,NA,440
"93","Kuwait",89.5883190732036,373,50.245371780553,328,47.3622868964359,343,42.8221069643351,329,81.7137025204118,404
"94","Kyrgyzstan",81.1196353556897,305,46.5422321499081,317,41.5332610487695,317,41.6959247614683,321,58.1317056888084,352
"95","Lao People'S Democratic Republic",88.7627524703214,364,43.3399893954265,307,28.5238939876858,283,37.3908727200919,275,50.5046651725399,317
"96","Latvia",92.9737823476218,396,73.0339233537528,399,74.6554106079748,401,58.4947721464224,393,78.3837821895139,396
"97","Lebanon",75.0356237966726,279,51.6019674868289,334,46.699126770817,340,45.7158743125138,337,66.2495562655307,375
"98","Lesotho",90.6902044285985,383,46.3606006249929,314,49.2288921160627,349,40.0436007021752,319,42.4394710861737,33
"99","Liberia",84.6976663848832,328,19.8807549553818,10,33.2854142755304,291,20.6039061266914,140,46.351963999668,45
"100","Libyan Arab Jamahiriya",74.0725138504237,277,13.3643009442583,2,20.5794712182891,268,37.0309855068999,272,55.5422435214767,344
"101","Lithuania",95.7152466076926,415,74.0825351699552,402,76.4618245642283,409,60.0614844375926,403,81.7236677810804,405
"102","Luxembourg",99.0459684331778,436,96.1518935932582,434,93.0603894352377,433,51.3027207734833,363,95.6691515796947,435
"103","Macedonia, The Former Yugoslav Republic Of",85.5349228750402,342,63.7803048250809,384,55.6366649601867,367,58.7945290545211,395,60.0929325682556,361
"104","Madagascar",81.4764038770575,310,46.8197560948094,319,33.958896712549,293,22.9028775956595,143,40.3990078008961,26
"105","Malawi",86.5058673448334,346,25.0499204656987,145,43.1251909468487,322,30.2851761652749,190,39.3350605863123,23
"106","Malaysia",88.4504337633671,362,58.2309540731716,363,64.3339447072974,385,64.0703155779406,423,66.3217812252193,376
"107","Maldives",89.5982227598509,374,53.376541329633,342,45.3885106076995,333,45.9309398826795,339,59.3905472636816,357
"108","Mali",73.2071523847401,275,46.9415958754978,320,41.4053085976313,316,23.5420340659951,145,49.4898598947047,312
"109","Malta",96.5071112007159,422,83.3124626301599,419,82.6969031861632,419,45.7747477446707,338,86.5415335463259,418
"110","Mauritania",80.2928366870282,300,38.3614805789646,295,34.1441366587673,294,25.4838608787985,151,44.125344170168,39
"111","Mauritius",95.9325735790862,416,61.6246996310962,377,75.251590535642,403,58.0783768608287,392,56.7515457854497,348
"112","Mexico",66.8639327775479,10,54.3811554472535,345,60.5068193828598,380,53.4080261078608,378,56.7301493950199,347
"113","Micronesia, Federated States Of",95.952380952381,417,46.3684976478153,315,51.1784233157456,356,18.3912266383931,134,17.3756218905473,3
"114","Moldova, Republic Of",88.1268709419939,359,55.8911790255074,356,49.4078333966382,350,48.8377608864263,347,64.455288343515,370
"115","Mongolia",92.3356960700049,393,58.175110840356,361,48.3732764896607,347,53.1833103075705,371,61.8432950617873,366
"116","Montenegro",92.3735246159669,394,62.864250177683,382,57.1585534898891,371,58.7299550637192,394,67.773631840796,381
"117","Morocco",84.0550350225014,321,58.2106474430568,362,46.1763315016198,338,41.8350638272189,322,53.7315287248528,338
