"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"197","Singapore",NA,2.4,1.33,0.06,2.07,1.96,1.74,2.08,NA,1,5,6.20745454545455,NA,2,2.25
"198","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Slovakia",NA,6.1,1.1,0.94,0.78,0.91,0.45,0.06,100,37,8.04,4.20845454545455,26.58,4,3.57
"200","Slovenia",NA,1.5,0.87,0.98,1,0.61,0.97,0.7,100,51,6.39,1.59036363636364,24.87,4,3.64
"201","Solomon Islands",NA,1.6,0.37,-0.02,-0.86,-1.13,-0.6,-0.45,NA,87,NA,5.43354545454545,NA,2,19.18
"202","Somalia",926,57.6,-2.75,-2.19,-2.21,-2.21,-2.44,-1.58,3,NA,NA,NA,NA,1,NA
"203","South Africa",NA,861.7,-0.06,0.58,0.43,0.41,0.13,-0.12,85,102.952380952381,6.21,3.53663636363636,65.02,4,5.38
"204","South Africa",NA,861.7,-0.06,0.58,0.43,0.41,0.13,-0.12,85,43,6.21,3.53663636363636,65.02,4,5.38
"205","South Africa",NA,861.7,-0.06,0.58,0.43,0.41,0.13,-0.12,85,130.923076923077,6.21,3.53663636363636,65.02,4,5.38
"206","Spain",NA,26.4,0.01,0.97,1.15,0.93,1,0.81,100,33,5.52,1.04854545454545,35.75,5,3.2
"207","Sri Lanka",NA,91.5,-0.61,-0.62,-0.23,-0.16,-0.27,-0.23,97,99,5.87,5.86127272727273,36.4,3,7.43
"208","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,NA,35.29,1,8.08
"209","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"210","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,7.34209090909091,35.29,1,8.08
"211","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,7.34209090909091,35.29,1,8.08
"212","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,7.34209090909091,35.29,1,8.08
"213","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"214","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,NA,35.29,1,8.08
"215","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,NA,35.29,1,8.08
"216","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"217","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"218","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,NA,35.29,1,8.08
"219","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,NA,35.29,1,8.08
"220","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,7.34209090909091,35.29,1,8.08
"221","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,NA,7.34209090909091,35.29,1,8.08
