"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"26","Bulgaria",89.8298511263675,121,61.6633386356201,121,61.760908397808,127,60.0616853829342,150,70.6022249420275,133
"27","Burkina Faso",81.8125868783226,54,48.4877201295112,69,45.6193309428852,80,31.1556741811266,36,42.9734183184186,35
"28","Burundi",77.7281119682516,33,37.0849832470302,36,31.2479434508327,34,24.4882102849667,19,55.5569684414279,90
"29","Cabo Verde",94.9156830773112,151,72.0778195191841,142,61.6652079015526,126,39.9411374132989,66,58.1927953417153,98
"30","Cambodia",86.7022786732361,92,36.3432271747837,35,36.1741553956419,49,41.9539970636969,72,49.0323939408389,54
"31","Cameroon",83.4432111996548,61,34.0570390677001,31,31.8089710958078,35,30.7287229379963,32,48.6577142685578,53
"32","Canada",96.3307666278772,163,93.7839148926569,175,92.5640953523193,175,59.8001712855684,146,89.0325263988895,168
"33","Central African Republic",70.9889969583673,15,29.4051285522501,23,19.184332690651,10,14.5959992722628,5,32.6357915781405,10
"34","Chad",79.2452624418011,42,15.5859026861159,3,23.3995058777225,17,35.2301055422948,45,38.0904140991881,20
"35","Chile",91.0720387092667,126,87.5181913561444,165,83.7730409197376,164,59.8374806004166,147,56.8146752923349,94
"36","China",75.7162782417183,28,38.1206213828815,39,38.1816948717525,55,61.2366197502903,158,56.8204340510343,95
"37","Colombia",69.357818912602,14,57.0559898918108,104,56.2434278158983,113,57.3550173989411,136,43.2068094034619,36
"38","Comoros",86.5518133768152,91,47.1683532451123,66,29.3277965628191,32,20.51856631793,10,33.5546530747046,12
"39","Congo",84.471396620249,70,43.9587775408671,54,25.1947348212737,20,27.0230107660769,23,45.1231153427043,42
"40","Congo, the Democratic Republic of the",58.4321400440591,6,18.1411536422197,6,20.0205568904633,12,11.7766958051606,4,25.6094527363184,6
"41","Costa Rica",93.5421242700452,140,73.7976782752902,146,70.8029865463323,140,51.4555910658928,110,39.7927693799374,24
"42","Cote d'Ivoire",78.6822555410537,40,39.6413623492515,43,34.2056843328627,41,21.5546740281288,13,40.536375629838,27
"43","Croatia",93.3044475806119,139,52.0052797238298,82,66.5410821284759,135,52.8973519279537,116,79.4082833966483,143
"44","Cuba",91.1611718890929,128,61.3593032569578,119,26.8334148727984,23,56.4315352697095,133,51.2468938587149,71
"45","Cyprus",92.6132704685033,136,82.9666858451507,160,79.2803462709285,158,49.6952416563279,101,82.7431664891729,152
"46","Czech Republic",96.7601975549684,167,74.2602181834591,148,76.9583792637915,152,68.7926905117201,174,86.3653157711619,159
"47","Denmark",96.0028602790246,162,99.244142101285,183,96.612348309071,182,57.6268973486481,137,86.5861586635513,161
"48","Djibouti",87.4951159497694,96,53.0121501336853,85,28.8255125976753,31,9.65752480529275,2,50.7906774257926,67
"49","Dominican Republic",89.4957372882055,114,47.609458377049,68,50.1774678934056,97,49.5335268663863,100,52.5232905405525,80
"50","Ecuador",85.4943118647345,84,49.4861294434855,71,40.879509786112,60,44.4255323800023,82,48.0313201475759,51
"51","Egypt",74.4142912556342,24,55.2757753184192,95,33.2919701173343,38,38.9468355062308,62,75.8011769339317,139
