"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"63","Georgia",84.7909261008125,73,67.9600861903634,115,64.4332061042439,131,NA,159,61.6751439819009,84
"64","Germany",95.4776937143423,144,92.1306167574824,143,89.0490907145472,171,53.6868465387,93,91.7153759071169,136
"65","Ghana",87.7776186113852,96,52.7921616407757,71,57.4201085266197,118,53.2060608634117,87,49.841571341023,47
"66","Greece",86.8156287249357,91,67.5398517616002,113,67.5728711662689,136,46.1007503682396,60,75.1344184296833,109
"67","Guatemala",78.383423586573,37,50.9064654053993,64,43.7085103462228,72,42.7166678694539,53,27.7966574652474,2
"68","Guinea",78.1664738984801,35,31.3179002944461,22,27.5441955942541,26,NA,160,49.3212496269098,45
"69","Guinea-Bissau",81.0351828468147,45,16.0027526765267,3,21.5196289919933,15,NA,161,41.6187610050564,19
"70","Guyana",84.9133427418356,75,51.8072900802112,69,48.1347468904908,91,40.2682359402676,45,44.7684103444439,29
"71","Haiti",81.4448948263848,48,38.9616543134667,34,28.6709316623592,30,17.4779446267265,3,24.0460724421909,1
"72","Honduras",83.4570940461158,60,45.9110343971751,50,42.6263345636503,67,42.6852696819875,52,35.30018526466,8
"73","Hungary",94.6000089604784,138,71.7636308254645,118,71.7028717373892,142,59.7728301003042,110,81.884304074233,117
"74","Iceland",98.4920634920635,164,93.3523990027188,145,85.7439985921541,168,61.264772610317,124,97.0215306145877,140
"75","India",45.135582010582,2,54.2846989542086,76,52.5668116142474,104,37.5868987058734,37,59.4826295687464,79
"76","Indonesia",82.4308304123353,55,44.6035130470098,48,50.7353070700565,101,47.2064957980465,61,51.5655857735508,56
"77","Iran, Islamic Republic of",76.7298969898688,28,51.7401653862208,68,24.0598172827885,18,35.3494402358501,30,66.4926697714834,96
"78","Iraq",68.6448377147769,12,43.3100935233131,42,27.1730078222839,24,49.267327902002,71,65.4537659589875,94
"79","Ireland",95.4497806451309,143,90.8964249049537,140,87.9718021391552,170,63.0870551652011,129,88.7428671339787,130
"80","Israel",79.7669921914147,42,79.2720073103868,127,77.2819214964178,153,62.491485711024,127,82.3862229498584,120
"81","Italy",92.2285417175115,128,67.5155966200742,112,71.0518117931526,141,42.5795482389024,51,85.9212104193269,122
"82","Jamaica",89.5591503580065,112,58.4300718629077,93,59.8283981314045,121,47.3937330179218,62,51.8359480552509,57
"83","Japan",95.967778827097,151,89.4653715549238,139,83.6175671788859,163,55.406525984518,98,78.2174413696516,111
"84","Jordan",83.3593246157311,58,68.480161550524,116,47.1113689753689,88,47.9361968517398,64,70.4524678700922,104
"85","Kazakhstan",84.8522582174071,74,52.5992486546858,70,36.8175576831507,51,51.7147693019751,81,67.5679907173398,98
"86","Kenya",78.0016718366269,33,37.138006114552,30,45.691331666763,81,38.6741948348737,41,47.8563960460389,38
"87","Kiribati",NA,176,63.8118929163705,110,44.2330628425002,74,NA,162,NA,155
"88","Korea, Democratic People's Republic of",83.6229925875622,62,44.0986676594353,47,2.13089802130898,1,NA,163,NA,156
"89","Korea, Republic of",90.1005401046254,118,NA,166,75.6879298884458,150,65.3371263623089,134,NA,157
"90","Kosovo",NA,177,NA,167,48.3535427349369,92,NA,164,NA,158
"91","Kuwait",89.5883190732036,113,NA,168,47.3622868964359,89,42.8221069643351,54,NA,159
"92","Kyrgyzstan",81.1196353556897,46,46.5422321499081,52,41.5332610487695,63,41.6959247614683,46,58.1317056888084,77
"93","Lao People's Democratic Republic",88.7627524703214,104,43.3399893954265,43,28.5238939876858,29,37.3908727200919,35,50.5046651725399,49
"94","Latvia",92.9737823476218,133,73.0339233537528,120,74.6554106079748,146,58.4947721464224,106,78.3837821895139,112
"95","Lebanon",75.0356237966726,23,51.6019674868289,67,46.699126770817,86,NA,165,NA,160
"96","Lesotho",90.6902044285985,120,46.3606006249929,51,49.2288921160627,95,40.0436007021752,44,42.4394710861737,22
"97","Liberia",84.6976663848832,69,19.8807549553818,7,33.2854142755304,37,20.6039061266914,5,46.351963999668,34
