"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"116","Lao People's Democratic Republic",NA,0.0037767077941619,0.03,-1.04,-0.83,-0.88,-0.84,-1.58,75,156,5.02,7.51881818181818,36.22,1,60.21
"117","Latvia",NA,0.00257281553398058,0.44,0.15,0.76,0.83,1,0.74,100,26,10.65,3.94827272727273,36.03,4,37.3
"118","Lebanon",NA,0.00118355928556058,-1.66,-0.87,-0.75,-0.34,-0.12,-0.42,100,83,NA,5.196,NA,3,44.94
"119","Lesotho",NA,0.0249512670565302,0.25,0.11,-0.29,-0.37,-0.54,0.05,45,133,5.85,4.14627272727273,54.17,2,61.65
"120","Liberia",NA,0.00420047732696897,-0.48,-0.58,-0.92,-1.18,-1.05,-0.35,4,155,4.2,3.10627272727273,38.16,1,72.03
"121","Libya",NA,0.00110479285134037,-1.54,-1.4,-1.15,-1.49,-1.66,-0.94,NA,187,8,8.23163636363636,NA,2,51.27
"122","Liechtenstein",NA,NA,1.41,1.8,1.6,1.76,1.53,1.48,100,NA,NA,NA,NA,NA,NA
"123","Lithuania",NA,0.00320343461030383,0.75,0.31,0.81,0.83,1.1,0.91,100,28,10.89,4.47718181818182,32.63,4,33.91
"124","Luxembourg",NA,0.000763358778625954,1.34,2.12,1.77,1.66,1.76,1.63,100,60,10.99,2.31318181818182,NA,5,27.66
"125","Macao",NA,NA,0.63,0.45,0.64,1.07,1.34,-0.27,NA,NA,8.54,NA,NA,NA,NA
"126","Macedonia, the former Yugoslav Republic of",NA,0.00128205128205128,-0.45,0.02,-0.24,-0.07,0.35,-0.01,100,44,NA,3.013,44.2,3,42.7
"127","Madagascar",NA,0.00751323225980084,-0.58,-0.57,-0.9,-1.08,-0.58,-0.87,80,159,NA,3.043,40.63,1,69.86
"128","Malawi",NA,0.00184207217402238,0,-0.45,-0.25,-0.5,-0.71,-0.22,2,157,4.81,4.03727272727273,46.18,1,66.53
"129","Malaysia",NA,0.00139876880984952,-0.01,0.3,0.51,1.01,0.55,-0.33,NA,17,10.44,5.12718181818182,46.21,4,44.6
"130","Maldives",NA,0.00236686390532544,-0.31,-0.44,-0.5,-0.16,-0.35,-0.52,93,70,6.02,7.81654545454545,37.37,3,NA
"131","Mali",218,0.00531843274538845,-2.02,-0.77,-0.69,-0.99,-0.42,-0.53,81,146,1.97,5.428,33.02,1,70.52
"132","Malta",NA,0.000700934579439252,1.04,0.96,1.34,1.24,1.31,1.14,100,92,10.52,1.90190909090909,NA,4,37.67
"133","Marshall Islands",NA,NA,1.06,-0.14,0.08,-1.65,-1.02,1.2,96,125,NA,1.537,NA,2,NA
"134","Martinique",NA,NA,0.63,0.82,0.88,0.74,0.83,0.62,NA,NA,NA,NA,NA,4,NA
"135","Mauritania",NA,0.00337197049525817,-1.13,-0.6,-0.88,-0.92,-0.64,-0.92,59,165,4.53,3.95381818181818,40.46,1,65.51
"136","Mauritius",NA,0.00209677419354839,0.96,0.33,0.93,0.93,0.98,0.86,NA,22,8.86,3.95309090909091,35.9,3,39.56
"137","Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Mexico",NA,0.0157984889984857,-0.68,-0.41,-0.56,0.32,0.47,0.08,93,42,8.79,2.44281818181818,48.07,3,45.27
"139","Micronesia, Federated States of",NA,NA,1.16,-0.11,-0.02,-0.63,-0.98,1,NA,148,NA,0.231727272727273,61.1,2,NA
"140","Moldova, Republic of",NA,0.00443938531587934,0.02,-0.6,-0.36,-0.55,-0.11,-0.07,100,95,10.4,4.73681818181818,30.63,2,44.31
"141","Monaco",NA,NA,1.05,NA,0.94,NA,NA,0.81,100,NA,NA,NA,NA,5,NA
"142","Mongolia",NA,0.00547210300429185,0.47,-0.52,-0.38,-0.63,-0.17,0.03,99,91,9.2,8.39381818181818,36.52,2,46.07
"143","Montenegro",NA,0.00177133655394525,0.55,-0.1,-0.01,0.13,0.01,0.23,99,51,NA,3.66290909090909,30.63,3,NA
"144","Montserrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Morocco",NA,0.00175271363119215,-0.46,-0.44,-0.21,-0.05,-0.09,-0.63,94,82,4.96,4.50209090909091,40.88,2,51.34
"146","Mozambique",NA,0.00822124350275761,0.34,-0.59,-0.6,-0.64,-0.46,-0.2,48,140,1.93,7.52445454545455,45.66,1,70.89
"147","Myanmar",702,0.00892285546527265,-0.95,-1.12,-1.35,-1.53,-1.87,-1.65,72,179,4.85,9.579,NA,1,61.48
"148","Namibia",NA,0.0115095174856131,0.94,0.3,0.23,0.12,0.06,0.37,78,77,6.17,4.69654545454545,61.32,3,53.92
"149","Nauru",NA,NA,1.06,0.05,0.69,-0.56,-1.2,1.1,83,NA,NA,NA,NA,2,NA
"150","Nepal",NA,0.00164519181771857,-1.37,-0.83,-0.79,-0.99,-0.81,-0.68,42,107,4.23,3.87827272727273,32.82,1,57.73
